bdl_id,height_in,weight_lbs,draft_year,draft_round,draft_pick,player_id,name_collision
494,82.0,225.0,1989.0,1.0,13.0,,True
592,81.0,215.0,1979.0,8.0,165.0,,True
739,75.0,190.0,1992.0,2.0,34.0,,True
1128,76.0,200.0,1997.0,1.0,26.0,,True
1145,78.0,215.0,,,,,True
1394,74.0,188.0,,,,,True
1429,81.0,230.0,2002.0,1.0,3.0,,True
1454,82.0,240.0,2001.0,2.0,48.0,,True
1591,78.0,215.0,1983.0,4.0,82.0,,True
1701,75.0,205.0,2006.0,1.0,22.0,,True
1709,72.0,181.0,2006.0,2.0,46.0,,True
1711,79.0,215.0,2006.0,2.0,37.0,,True
1845,77.0,215.0,2009.0,1.0,12.0,,True
1870,78.0,205.0,,,,,True
1916,83.0,210.0,,,,,True
1920,80.0,235.0,2008.0,2.0,43.0,,True
1950,81.0,226.0,,,,,True
1967,72.0,170.0,1982.0,4.0,78.0,,True
2040,80.0,235.0,2013.0,2.0,37.0,,True
2288,74.0,180.0,1977.0,3.0,49.0,,True
2336,74.0,170.0,1976.0,2.0,22.0,,True
2342,83.0,205.0,1970.0,5.0,79.0,,True
2626,76.0,175.0,1982.0,2.0,42.0,,True
